symbol,indices,avg_volume,sector
SUMICHEM,nifty_smallcap250,379944,Other
SUNPHARMA,"nifty50,nifty_pharma",5890794,Pharma
SUNTV,"nifty_media,nifty_smallcap250",474379,Media
SUPREMEIND,nifty_midcap150,384461,Other
SUZLON,"nifty_energy,nifty_infra,nifty_midcap150",135953400,Energy
SWANCORP,nifty_smallcap250,2204756,Other
SWIGGY,nifty_midcap150,8963240,Other
SYNGENE,nifty_smallcap250,7185543,Other
SYRMA,nifty_smallcap250,1548727,Other
TARIL,nifty_smallcap250,7719371,Other
TATACAP,nifty_next50,2148059,Other
TATACHEM,nifty_smallcap250,4446884,Other
TATACOMM,nifty_midcap150,548234,Other
TATACONSUM,"nifty50,nifty_fmcg",1637827,FMCG
TATAELXSI,nifty_midcap150,372184,Other
TATAINVEST,nifty_midcap150,2321690,Other
TATAPOWER,"nifty_energy,nifty_infra,nifty_next50",10038137,Energy
TATASTEEL,"nifty50,nifty_metal",24730644,Metals
TATATECH,nifty_smallcap250,2517052,Other
TCS,"nifty50,nifty_it",3857382,IT
TECHM,"nifty50,nifty_it",2435727,IT
TECHNOE,nifty_smallcap250,288733,Other
TEJASNET,nifty_smallcap250,6813772,Other
TENNIND,nifty_smallcap250,1830259,Other
THELEELA,nifty_smallcap250,360537,Other
THERMAX,"nifty_energy,nifty_midcap150",422196,Energy
TIINDIA,"nifty_auto,nifty_midcap150",333608,Auto
TIPSMUSIC,nifty_media,859140,Media
TITAGARH,nifty_smallcap250,1955316,Other
TITAN,nifty50,1172597,Consumer
TMCV,nifty_next50,8018745,Other
TMPV,"nifty50,nifty_auto",9373366,Auto
TORNTPHARM,"nifty_next50,nifty_pharma",338938,Pharma
TORNTPOWER,"nifty_energy,nifty_midcap150",838201,Energy
TRENT,nifty50,1266840,Retail
TRIDENT,nifty_smallcap250,6077858,Other
TRITURBINE,nifty_smallcap250,5011730,Other
TTML,nifty_smallcap250,6960122,Other
TVSMOTOR,"nifty_auto,nifty_next50",794394,Auto
UBL,"nifty_fmcg,nifty_midcap150",279806,FMCG
UCOBANK,"nifty_psu_bank,nifty_smallcap250",6510875,PSU Bank
ULTRACEMCO,"nifty50,nifty_infra",363260,Cement
UNIONBANK,"nifty_bank,nifty_next50,nifty_psu_bank",19742149,Banking
UNITDSPR,"nifty_fmcg,nifty_next50",1354173,FMCG
UNOMINDA,"nifty_auto,nifty_midcap150",978613,Auto
UPL,nifty_midcap150,1778825,Other
URBANCO,nifty_smallcap250,7719837,Other
USHAMART,nifty_smallcap250,955212,Other
UTIAMC,nifty_smallcap250,346708,Other
VBL,"nifty_fmcg,nifty_next50",9089564,FMCG
VEDL,"nifty_metal,nifty_next50",37820434,Metals
VIJAYA,nifty_smallcap250,277862,Other
VMM,nifty_midcap150,10931185,Other
VOLTAS,nifty_midcap150,1342530,Other
VTL,nifty_smallcap250,813824,Other
WAAREEENER,nifty_midcap150,2459426,Other
WELCORP,"nifty_metal,nifty_smallcap250",1313831,Metals
WELSPUNLIV,nifty_smallcap250,1545528,Other
WHIRLPOOL,nifty_smallcap250,438142,Other
WIPRO,"nifty50,nifty_it",24883076,IT
WOCKPHARMA,"nifty_pharma,nifty_smallcap250",2701089,Pharma
YESBANK,"nifty_bank,nifty_midcap150",133505551,Banking
ZEEL,"nifty_media,nifty_smallcap250",20773182,Media
ZENSARTECH,nifty_smallcap250,546240,Other
ZENTEC,nifty_smallcap250,1111431,Other
ZYDUSLIFE,"nifty_next50,nifty_pharma",746596,Pharma
ZYDUSWELL,nifty_smallcap250,3575611,Other
